Solução ótima! Status final = 2	MIPgap = -6.27744e+066
Funcao objetivo :	3.6126821086e+005	DEF (MW): 0.0000000000e+000	VFol (hm3): 0.0000000000e+000	CIO : 7.5870488061e+004	CFO : 2.8539772280e+005
CTL :3.4657196086e+005	CTQ :3.4688620780e+005
Tempo de resolucao (s):	0.0000e+000	Criar modelo (s):0.0000e+000
flags =	2	1	0	10	1	1	1

Estágio 1 
Periodo   	             1	             2
def10     	  0.000000e+000	  0.000000e+000
def11     	  0.000000e+000	  0.000000e+000
def12     	  0.000000e+000	  0.000000e+000
def13     	  0.000000e+000	  0.000000e+000
def14     	  0.000000e+000	  0.000000e+000
def15     	  0.000000e+000	  0.000000e+000
def16     	  0.000000e+000	  0.000000e+000
def17     	  0.000000e+000	  0.000000e+000
def18     	  0.000000e+000	  0.000000e+000
def19     	  0.000000e+000	  0.000000e+000
def20     	  0.000000e+000	  0.000000e+000
def21     	  0.000000e+000	  0.000000e+000
def22     	  0.000000e+000	  0.000000e+000
def23     	  0.000000e+000	  0.000000e+000
def24     	  0.000000e+000	  0.000000e+000
def25     	  0.000000e+000	  0.000000e+000
def26     	  0.000000e+000	  0.000000e+000
def27     	  0.000000e+000	  0.000000e+000
def28     	  0.000000e+000	  0.000000e+000
def29     	  0.000000e+000	  0.000000e+000
def30     	  0.000000e+000	  0.000000e+000
def31     	  0.000000e+000	  0.000000e+000
def32     	  0.000000e+000	  0.000000e+000
def33     	  0.000000e+000	  0.000000e+000
def34     	  0.000000e+000	  0.000000e+000
def35     	  0.000000e+000	  0.000000e+000
def36     	  0.000000e+000	  0.000000e+000
def37     	  0.000000e+000	  0.000000e+000
def38     	  0.000000e+000	  0.000000e+000
def39     	  0.000000e+000	  0.000000e+000
def40     	  0.000000e+000	  0.000000e+000
def41     	  0.000000e+000	  0.000000e+000
def42     	  0.000000e+000	  0.000000e+000
def43     	  0.000000e+000	  0.000000e+000
def44     	  0.000000e+000	  0.000000e+000
def45     	  0.000000e+000	  0.000000e+000
def46     	  0.000000e+000	  0.000000e+000

Estágio 2 - Cenário 1
Periodo   	             3	             4
pt1       	  0.000000e+000	  4.410000e+001
pt2       	  0.000000e+000	  4.590000e+001
pt3       	  0.000000e+000	  0.000000e+000
pt4       	  0.000000e+000	  5.500000e+001
pt5       	  0.000000e+000	  4.900000e+001
pt6       	  0.000000e+000	  0.000000e+000
pt7       	  5.151474e+001	  3.015147e+002
pt8       	  0.000000e+000	  0.000000e+000
pt9       	  0.000000e+000	  0.000000e+000
pt10      	  0.000000e+000	  2.650000e+001
pt11      	  0.000000e+000	  0.000000e+000
pt12      	  0.000000e+000	  2.650000e+001
pt13      	  0.000000e+000	  0.000000e+000
pt14      	  0.000000e+000	  4.230000e+001
u1        	  1.000000e+000	  1.000000e+000
u2        	  1.000000e+000	  1.000000e+000
u3        	  0.000000e+000	  1.000000e+000
u4        	  1.000000e+000	  1.000000e+000
u5        	  1.000000e+000	  1.000000e+000
u6        	  0.000000e+000	  1.000000e+000
u7        	  1.000000e+000	  1.000000e+000
u8        	  0.000000e+000	  1.000000e+000
u9        	  0.000000e+000	  1.000000e+000
u10       	  1.000000e+000	  1.000000e+000
u11       	  0.000000e+000	  1.000000e+000
u12       	  1.000000e+000	  1.000000e+000
u13       	  0.000000e+000	  1.000000e+000
u14       	  1.000000e+000	  1.000000e+000
up1       	  0.000000e+000	  0.000000e+000
up2       	  0.000000e+000	  0.000000e+000
up3       	  0.000000e+000	  1.000000e+000
up4       	  0.000000e+000	  0.000000e+000
up5       	  0.000000e+000	  0.000000e+000
up6       	  0.000000e+000	  1.000000e+000
up7       	  0.000000e+000	  0.000000e+000
up8       	  0.000000e+000	  1.000000e+000
up9       	  0.000000e+000	  1.000000e+000
up10      	  1.000000e+000	  0.000000e+000
up11      	  0.000000e+000	  1.000000e+000
up12      	  1.000000e+000	  0.000000e+000
up13      	  0.000000e+000	  1.000000e+000
up14      	  0.000000e+000	  0.000000e+000
ud1       	  0.000000e+000	  0.000000e+000
ud2       	  0.000000e+000	  0.000000e+000
ud3       	  0.000000e+000	  0.000000e+000
ud4       	  0.000000e+000	  0.000000e+000
ud5       	  0.000000e+000	  0.000000e+000
ud6       	  0.000000e+000	  0.000000e+000
ud7       	  0.000000e+000	  0.000000e+000
ud8       	  0.000000e+000	  0.000000e+000
ud9       	  0.000000e+000	  0.000000e+000
ud10      	  0.000000e+000	  0.000000e+000
ud11      	  0.000000e+000	  0.000000e+000
ud12      	  0.000000e+000	  0.000000e+000
ud13      	  0.000000e+000	  0.000000e+000
ud14      	  0.000000e+000	  0.000000e+000
F1        	  4.998125e+003	  1.105631e+004
F2        	  4.788014e+003	  1.099345e+004
F3        	  0.000000e+000	  5.672310e+003
F4        	  5.321228e+003	  1.195024e+004
F5        	  4.975184e+003	  1.052015e+004
F6        	  0.000000e+000	  2.512178e+004
F7        	  1.817942e+004	  4.882791e+004
F8        	  0.000000e+000	  5.468460e+003
F9        	  0.000000e+000	  5.679131e+003
F10       	  6.597047e+003	  1.049986e+004
F11       	  0.000000e+000	  7.777206e+003
F12       	  6.563093e+003	  1.041021e+004
F13       	  0.000000e+000	  5.505955e+003
F14       	  5.101909e+003	  1.089498e+004
ph1       	  6.981372e+001	  0.000000e+000
ph2       	  4.266270e+001	  4.220116e+001
ph3       	  2.909748e+002	  0.000000e+000
ph4       	  4.945486e+002	  0.000000e+000
ph5       	  3.914405e+002	  0.000000e+000
ph6       	  7.988048e+002	  6.402970e+002
ph7       	  8.253813e+002	  1.228074e+003
v1        	  2.999191e+002	  3.000000e+002
v2        	  3.227998e+001	  3.250000e+001
v3        	  3.876012e+003	  3.876500e+003
v4        	  2.754995e+003	  2.756000e+003
v5        	  4.715832e+003	  4.718500e+003
v6        	  1.036981e+003	  1.036000e+003
v7        	  3.296427e+003	  3.293000e+003
d1        	  8.881186e+001	  0.000000e+000
d2        	  4.777420e+001	  4.700000e+001
d3        	  2.453044e+002	  0.000000e+000
d4        	  5.005966e+002	  0.000000e+000
d5        	  4.382428e+002	  0.000000e+000
d6        	  1.355585e+003	  1.067188e+003
d7        	  1.570103e+003	  2.376000e+003
s1        	  0.000000e+000	  0.000000e+000
s2        	  0.000000e+000	  0.000000e+000
s3        	  0.000000e+000	  0.000000e+000
s4        	  0.000000e+000	  0.000000e+000
s5        	  0.000000e+000	  0.000000e+000
s6        	  0.000000e+000	  0.000000e+000
s7        	  0.000000e+000	  0.000000e+000
phg1,1    	  6.981372e+001	  0.000000e+000
phg1,2    	  4.266270e+001	  4.220116e+001
phg1,3    	  2.909748e+002	  0.000000e+000
phg1,4    	  4.945486e+002	  0.000000e+000
phg1,5    	  3.914405e+002	  0.000000e+000
phg1,6    	  6.821202e+002	  5.219533e+002
phg2,6    	  1.166846e+002	  1.183437e+002
phg1,7    	  8.253813e+002	  1.228074e+003
q1,1      	  8.881186e+001	  0.000000e+000
q1,2      	  4.777420e+001	  4.700000e+001
q1,3      	  2.453044e+002	  0.000000e+000
q1,4      	  5.005966e+002	  0.000000e+000
q1,5      	  4.382428e+002	  0.000000e+000
q1,6      	  1.173585e+003	  8.851883e+002
q2,6      	  1.820000e+002	  1.820000e+002
q1,7      	  1.570103e+003	  2.376000e+003
z1,1      	  1.000000e+000	  0.000000e+000
z1,2      	  1.000000e+000	  1.000000e+000
z1,3      	  1.000000e+000	  0.000000e+000
z1,4      	  1.000000e+000	  0.000000e+000
z1,5      	  1.000000e+000	  0.000000e+000
z1,6      	  1.000000e+000	  1.000000e+000
z2,6      	  1.000000e+000	  1.000000e+000
z1,7      	  1.000000e+000	  1.000000e+000
def1      	  0.000000e+000	  0.000000e+000
def2      	  0.000000e+000	  0.000000e+000
def3      	  0.000000e+000	  0.000000e+000
def4      	  0.000000e+000	  0.000000e+000
def5      	  0.000000e+000	  0.000000e+000
def6      	  0.000000e+000	  0.000000e+000
def7      	  0.000000e+000	  0.000000e+000
def8      	  0.000000e+000	  0.000000e+000
def9      	  0.000000e+000	  0.000000e+000
def10     	  0.000000e+000	  0.000000e+000
def11     	  0.000000e+000	  0.000000e+000
def12     	  0.000000e+000	  0.000000e+000
def13     	  0.000000e+000	  0.000000e+000
def14     	  0.000000e+000	  0.000000e+000
def15     	  0.000000e+000	  0.000000e+000
def16     	  0.000000e+000	  0.000000e+000
def17     	  0.000000e+000	  0.000000e+000
def18     	  0.000000e+000	  0.000000e+000
def19     	  0.000000e+000	  0.000000e+000
def20     	  0.000000e+000	  0.000000e+000
def21     	  0.000000e+000	  0.000000e+000
def22     	  0.000000e+000	  0.000000e+000
def23     	  0.000000e+000	  0.000000e+000
def24     	  0.000000e+000	  0.000000e+000
def25     	  0.000000e+000	  0.000000e+000
def26     	  0.000000e+000	  0.000000e+000
def27     	  0.000000e+000	  0.000000e+000
def28     	  0.000000e+000	  0.000000e+000
def29     	  0.000000e+000	  0.000000e+000
def30     	  0.000000e+000	  0.000000e+000
def31     	  0.000000e+000	  0.000000e+000
def32     	  0.000000e+000	  0.000000e+000
def33     	  0.000000e+000	  0.000000e+000
def34     	  0.000000e+000	  0.000000e+000
def35     	  0.000000e+000	  0.000000e+000
def36     	  0.000000e+000	  0.000000e+000
def37     	  0.000000e+000	  0.000000e+000
def38     	  0.000000e+000	  0.000000e+000
def39     	  0.000000e+000	  0.000000e+000
def40     	  0.000000e+000	  0.000000e+000
def41     	  0.000000e+000	  0.000000e+000
def42     	  0.000000e+000	  0.000000e+000
def43     	  0.000000e+000	  0.000000e+000
def44     	  0.000000e+000	  0.000000e+000
def45     	  0.000000e+000	  0.000000e+000
def46     	  0.000000e+000	  0.000000e+000
vfol1     	             - 	  0.000000e+000
vfol2     	             - 	  0.000000e+000
vfol3     	             - 	  0.000000e+000
vfol4     	             - 	  0.000000e+000
vfol5     	             - 	  0.000000e+000
vfol6     	             - 	  0.000000e+000
vfol7     	             - 	  0.000000e+000

Estágio 2 - Cenário 2
Periodo   	             3	             4
pt1       	  0.000000e+000	  4.900000e+001
pt2       	  0.000000e+000	  5.100000e+001
pt3       	  0.000000e+000	  5.600000e+001
pt4       	  0.000000e+000	  5.500000e+001
pt5       	  9.800000e+000	  4.900000e+001
pt6       	  0.000000e+000	  0.000000e+000
pt7       	  1.934231e+002	  4.434231e+002
pt8       	  0.000000e+000	  5.500000e+001
pt9       	  0.000000e+000	  5.700000e+001
pt10      	  0.000000e+000	  5.300000e+001
pt11      	  0.000000e+000	  0.000000e+000
pt12      	  0.000000e+000	  5.300000e+001
pt13      	  0.000000e+000	  4.600000e+001
pt14      	  0.000000e+000	  4.700000e+001
u1        	  1.000000e+000	  1.000000e+000
u2        	  1.000000e+000	  1.000000e+000
u3        	  1.000000e+000	  1.000000e+000
u4        	  1.000000e+000	  1.000000e+000
u5        	  1.000000e+000	  1.000000e+000
u6        	  0.000000e+000	  1.000000e+000
u7        	  1.000000e+000	  1.000000e+000
u8        	  1.000000e+000	  1.000000e+000
u9        	  1.000000e+000	  1.000000e+000
u10       	  1.000000e+000	  1.000000e+000
u11       	  0.000000e+000	  1.000000e+000
u12       	  1.000000e+000	  1.000000e+000
u13       	  1.000000e+000	  1.000000e+000
u14       	  1.000000e+000	  1.000000e+000
up1       	  0.000000e+000	  0.000000e+000
up2       	  0.000000e+000	  0.000000e+000
up3       	  1.000000e+000	  0.000000e+000
up4       	  0.000000e+000	  0.000000e+000
up5       	  0.000000e+000	  0.000000e+000
up6       	  0.000000e+000	  1.000000e+000
up7       	  0.000000e+000	  0.000000e+000
up8       	  1.000000e+000	  0.000000e+000
up9       	  1.000000e+000	  0.000000e+000
up10      	  1.000000e+000	  0.000000e+000
up11      	  0.000000e+000	  1.000000e+000
up12      	  1.000000e+000	  0.000000e+000
up13      	  1.000000e+000	  0.000000e+000
up14      	  0.000000e+000	  0.000000e+000
ud1       	  0.000000e+000	  0.000000e+000
ud2       	  0.000000e+000	  0.000000e+000
ud3       	  0.000000e+000	  0.000000e+000
ud4       	  0.000000e+000	  0.000000e+000
ud5       	  0.000000e+000	  0.000000e+000
ud6       	  0.000000e+000	  0.000000e+000
ud7       	  0.000000e+000	  0.000000e+000
ud8       	  0.000000e+000	  0.000000e+000
ud9       	  0.000000e+000	  0.000000e+000
ud10      	  0.000000e+000	  0.000000e+000
ud11      	  0.000000e+000	  0.000000e+000
ud12      	  0.000000e+000	  0.000000e+000
ud13      	  0.000000e+000	  0.000000e+000
ud14      	  0.000000e+000	  0.000000e+000
F1        	  4.998125e+003	  1.186441e+004
F2        	  4.788014e+003	  1.182730e+004
F3        	  5.672310e+003	  1.418511e+004
F4        	  5.321228e+003	  1.195024e+004
F5        	  5.951813e+003	  1.052015e+004
F6        	  0.000000e+000	  2.512178e+004
F7        	  3.422127e+004	  7.121306e+004
F8        	  5.468460e+003	  1.367452e+004
F9        	  5.679131e+003	  1.443325e+004
F10       	  6.597047e+003	  1.519848e+004
F11       	  0.000000e+000	  7.777206e+003
F12       	  6.563093e+003	  1.503352e+004
F13       	  5.505955e+003	  1.219530e+004
F14       	  5.101909e+003	  1.166057e+004
ph1       	  0.000000e+000	  4.083789e+001
ph2       	  0.000000e+000	  0.000000e+000
ph3       	  0.000000e+000	  0.000000e+000
ph4       	  3.334701e+002	  0.000000e+000
ph5       	  2.480555e+002	  0.000000e+000
ph6       	  7.853050e+002	  2.180520e+002
ph7       	  1.169087e+003	  1.228074e+003
v1        	  3.001641e+002	  3.000000e+002
v2        	  3.243820e+001	  3.250000e+001
v3        	  3.876453e+003	  3.876500e+003
v4        	  2.755753e+003	  2.756000e+003
v5        	  4.716578e+003	  4.718500e+003
v6        	  1.036048e+003	  1.036000e+003
v7        	  3.295233e+003	  3.293000e+003
d1        	  1.686464e+000	  4.900000e+001
d2        	  0.000000e+000	  0.000000e+000
d3        	  0.000000e+000	  0.000000e+000
d4        	  3.246482e+002	  0.000000e+000
d5        	  2.480000e+002	  0.000000e+000
d6        	  1.331298e+003	  3.342118e+002
d7        	  2.257656e+003	  2.376000e+003
s1        	  1.686464e+000	  0.000000e+000
s2        	  0.000000e+000	  0.000000e+000
s3        	  0.000000e+000	  0.000000e+000
s4        	  0.000000e+000	  0.000000e+000
s5        	  0.000000e+000	  0.000000e+000
s6        	  0.000000e+000	  0.000000e+000
s7        	  0.000000e+000	  0.000000e+000
phg1,1    	  0.000000e+000	  4.083789e+001
phg1,2    	  0.000000e+000	  0.000000e+000
phg1,3    	  0.000000e+000	  0.000000e+000
phg1,4    	  3.334701e+002	  0.000000e+000
phg1,5    	  2.480555e+002	  0.000000e+000
phg1,6    	  6.685360e+002	  2.180520e+002
phg2,6    	  1.167690e+002	  0.000000e+000
phg1,7    	  1.169087e+003	  1.228074e+003
q1,1      	  0.000000e+000	  4.900000e+001
q1,2      	  0.000000e+000	  0.000000e+000
q1,3      	  0.000000e+000	  0.000000e+000
q1,4      	  3.246482e+002	  0.000000e+000
q1,5      	  2.480000e+002	  0.000000e+000
q1,6      	  1.149298e+003	  3.342118e+002
q2,6      	  1.820000e+002	  0.000000e+000
q1,7      	  2.257656e+003	  2.376000e+003
z1,1      	  0.000000e+000	  1.000000e+000
z1,2      	  0.000000e+000	  0.000000e+000
z1,3      	  0.000000e+000	  0.000000e+000
z1,4      	  1.000000e+000	  0.000000e+000
z1,5      	  1.000000e+000	  0.000000e+000
z1,6      	  1.000000e+000	  1.000000e+000
z2,6      	  1.000000e+000	  0.000000e+000
z1,7      	  1.000000e+000	  1.000000e+000
def1      	  0.000000e+000	  0.000000e+000
def2      	  0.000000e+000	  0.000000e+000
def3      	  0.000000e+000	  0.000000e+000
def4      	  0.000000e+000	  0.000000e+000
def5      	  0.000000e+000	  0.000000e+000
def6      	  0.000000e+000	  0.000000e+000
def7      	  0.000000e+000	  0.000000e+000
def8      	  0.000000e+000	  0.000000e+000
def9      	  0.000000e+000	  0.000000e+000
def10     	  0.000000e+000	  0.000000e+000
def11     	  0.000000e+000	  0.000000e+000
def12     	  0.000000e+000	  0.000000e+000
def13     	  0.000000e+000	  0.000000e+000
def14     	  0.000000e+000	  0.000000e+000
def15     	  0.000000e+000	  0.000000e+000
def16     	  0.000000e+000	  0.000000e+000
def17     	  0.000000e+000	  0.000000e+000
def18     	  0.000000e+000	  0.000000e+000
def19     	  0.000000e+000	  0.000000e+000
def20     	  0.000000e+000	  0.000000e+000
def21     	  0.000000e+000	  0.000000e+000
def22     	  0.000000e+000	  0.000000e+000
def23     	  0.000000e+000	  0.000000e+000
def24     	  0.000000e+000	  0.000000e+000
def25     	  0.000000e+000	  0.000000e+000
def26     	  0.000000e+000	  0.000000e+000
def27     	  0.000000e+000	  0.000000e+000
def28     	  0.000000e+000	  0.000000e+000
def29     	  0.000000e+000	  0.000000e+000
def30     	  0.000000e+000	  0.000000e+000
def31     	  0.000000e+000	  0.000000e+000
def32     	  0.000000e+000	  0.000000e+000
def33     	  0.000000e+000	  0.000000e+000
def34     	  0.000000e+000	  0.000000e+000
def35     	  0.000000e+000	  0.000000e+000
def36     	  0.000000e+000	  0.000000e+000
def37     	  0.000000e+000	  0.000000e+000
def38     	  0.000000e+000	  0.000000e+000
def39     	  0.000000e+000	  0.000000e+000
def40     	  0.000000e+000	  0.000000e+000
def41     	  0.000000e+000	  0.000000e+000
def42     	  0.000000e+000	  0.000000e+000
def43     	  0.000000e+000	  0.000000e+000
def44     	  0.000000e+000	  0.000000e+000
def45     	  0.000000e+000	  0.000000e+000
def46     	  0.000000e+000	  0.000000e+000
vfol1     	             - 	  0.000000e+000
vfol2     	             - 	  0.000000e+000
vfol3     	             - 	  0.000000e+000
vfol4     	             - 	  0.000000e+000
vfol5     	             - 	  0.000000e+000
vfol6     	             - 	  0.000000e+000
vfol7     	             - 	  0.000000e+000

Estágio 2 - Cenário 3
Periodo   	             3	             4
pt1       	  0.000000e+000	  2.940000e+001
pt2       	  0.000000e+000	  3.570000e+001
pt3       	  0.000000e+000	  2.240000e+001
pt4       	  0.000000e+000	  5.500000e+001
pt5       	  0.000000e+000	  4.900000e+001
pt6       	  0.000000e+000	  0.000000e+000
pt7       	  0.000000e+000	  2.500000e+002
pt8       	  0.000000e+000	  2.750000e+001
pt9       	  0.000000e+000	  2.280000e+001
pt10      	  0.000000e+000	  0.000000e+000
pt11      	  0.000000e+000	  0.000000e+000
pt12      	  0.000000e+000	  0.000000e+000
pt13      	  0.000000e+000	  2.300000e+001
pt14      	  0.000000e+000	  3.092799e+001
u1        	  1.000000e+000	  1.000000e+000
u2        	  1.000000e+000	  1.000000e+000
u3        	  1.000000e+000	  1.000000e+000
u4        	  1.000000e+000	  1.000000e+000
u5        	  1.000000e+000	  1.000000e+000
u6        	  0.000000e+000	  0.000000e+000
u7        	  1.000000e+000	  1.000000e+000
u8        	  1.000000e+000	  1.000000e+000
u9        	  1.000000e+000	  1.000000e+000
u10       	  0.000000e+000	  1.000000e+000
u11       	  0.000000e+000	  1.000000e+000
u12       	  0.000000e+000	  1.000000e+000
u13       	  1.000000e+000	  1.000000e+000
u14       	  1.000000e+000	  1.000000e+000
up1       	  0.000000e+000	  0.000000e+000
up2       	  0.000000e+000	  0.000000e+000
up3       	  1.000000e+000	  0.000000e+000
up4       	  0.000000e+000	  0.000000e+000
up5       	  0.000000e+000	  0.000000e+000
up6       	  0.000000e+000	  0.000000e+000
up7       	  0.000000e+000	  0.000000e+000
up8       	  1.000000e+000	  0.000000e+000
up9       	  1.000000e+000	  0.000000e+000
up10      	  0.000000e+000	  1.000000e+000
up11      	  0.000000e+000	  1.000000e+000
up12      	  0.000000e+000	  1.000000e+000
up13      	  1.000000e+000	  0.000000e+000
up14      	  0.000000e+000	  0.000000e+000
ud1       	  0.000000e+000	  0.000000e+000
ud2       	  0.000000e+000	  0.000000e+000
ud3       	  0.000000e+000	  0.000000e+000
ud4       	  0.000000e+000	  0.000000e+000
ud5       	  0.000000e+000	  0.000000e+000
ud6       	  0.000000e+000	  0.000000e+000
ud7       	  0.000000e+000	  0.000000e+000
ud8       	  0.000000e+000	  0.000000e+000
ud9       	  0.000000e+000	  0.000000e+000
ud10      	  0.000000e+000	  0.000000e+000
